date,title,content,emotion,emotion_probs,tags,lucid
2025-08-09,death of a loved one,a loved one passed away just before i was about to meet them. the weight of guilt and regret consumed me,neutral,"{'happy': np.float64(0.07113418889587272), 'neutral': np.float64(0.8959533850576976), 'nightmare': np.float64(0.00931303971943467), 'sad': np.float64(0.02359938632699492)}","death, regret, guilt",False
2025-08-09,death of a loved one,a loved one passed away just before i was about to meet them. the weight of guilt and regret consumed me.,neutral,"{'happy': np.float64(0.07113418889587272), 'neutral': np.float64(0.8959533850576976), 'nightmare': np.float64(0.00931303971943467), 'sad': np.float64(0.02359938632699492)}","death, regret, guilt",False
2025-08-04,coupon,"I am in a movie theater eating popcorn. I find a coupon. I have won a prize. It's a big one. I get up to go to the candy counter. I realize that I left my purse at the seat, so I ""conjure"" it up. I ask the lady at the counter what my prize is. She shows me the picture on the coupon. It's a grill, lots of food. I ask her to repeat; she speaks but I can't understand the words. It's something about a scholarship to a college. I look up to see my Aunt Esther and Dora. I'm delighted to see them and I say, ""Oh, How nice to see you. It's been a long time."" We chat. Then I go outside. There is lots of water. I'm standing on a dock. I see 2 lines of relatives. Uncle Lionel has a white handkerchief over his face (lower half). He has an allergy. Some of my relatives get into a boat and drive away, across a wooden boundary between 2 bodies of water. Uncle Lionel is shocked. ""I'd never be such a fool as to do that."" Then my father gets into a small row boat and I get in. He slowly and carefully goes over the wooden boundary. The motor gets caught. My father says ""Uh-oh."" I say, ""Don't tell me uh-oh, when we're in deep water."" We then get over the thing. Then I'm in a canal. An Indian guide is behind me paddling. He is reciting the legends of our people. I feel like I'm going home.",sad,"{'happy': np.float64(0.01815655548722161), 'neutral': np.float64(0.009398195809920157), 'nightmare': np.float64(0.006459465051438775), 'sad': np.float64(0.9659857836514195)}",,False
2025-08-04,stranded,"i went on a trip with my family. i later found out they had left without me. i cried and tried my best to find them. i wandered  the streets which were so strange and i had no one. everyone looked at me with disgust and hatred. i was cornered and beat up. i called my parents. someone else picked up and said i had the wrong number. i had no way of contacting anyone i knew. the strange city was even more scary at night because i had no place to sleep and there were creeps all across the street. i slept with some stray cats at night, ate from dustbins and wore rags. ",sad,"{'happy': np.float64(0.06647757884458481), 'neutral': np.float64(0.01783687306384191), 'nightmare': np.float64(0.014440792894212039), 'sad': np.float64(0.9012447551973612)}",,False
2025-08-04,stranded,"i went on a trip with my family. i later found out they had left without me. i cried and tried my best to find them. i wandered  the streets which were so strange and i had no one. everyone looked at me with disgust and hatred. i was cornered and beat up. i called my parents. someone else picked up and said i had the wrong number. i had no way of contacting anyone i knew. the strange city was even more scary at night because i had no place to sleep and there were creeps all across the street. i slept with some stray cats at night, ate from dustbins and wore rags. ",sad,"{'happy': np.float64(0.06647757884458481), 'neutral': np.float64(0.01783687306384191), 'nightmare': np.float64(0.014440792894212039), 'sad': np.float64(0.9012447551973612)}",,False
2025-08-04,stranded,i went on a trip with my family. We got ice creams together. it was a sunny day. we were at the beach. we were running around with the kids and getting pickled mangoes and pineapples,neutral,"{'happy': np.float64(0.2764407660767365), 'neutral': np.float64(0.6861728449426268), 'nightmare': np.float64(0.013331804915960513), 'sad': np.float64(0.024054584064676254)}",,False
2025-08-04,stranded,i went on a trip with my family. We got ice creams together. it was a sunny day. we were at the beach. we were running around with the kids and getting pickled mangoes and pineapples. it was a happy childhood memory,happy,"{'happy': np.float64(0.5604269171989611), 'neutral': np.float64(0.39889218289919387), 'nightmare': np.float64(0.01630127587125403), 'sad': np.float64(0.024379624030591)}",,False
2025-08-19,failing an exam,"being someone who thrives on academic validation, i had a dream that i was failing almost all the subjects in the trimester. it is one of my worst fears and it felt like it was coming true. no matter how hard i studied it felt like i wouldn't pass the exams. i felt like an utter failure",neutral,"{'happy': np.float64(0.05453330776911039), 'neutral': np.float64(0.9279773013483176), 'nightmare': np.float64(0.005286841289206896), 'sad': np.float64(0.012202549593365166)}",,False
2025-08-29,Scary,"Later dream. I found a small monkey, miniature, really. He was given to me. He was in a bird cage, gold. There was glass so it was also like a fishbowl. It was dying because there was no air, food, or water. I opened a door in the glass to let in air. I could hear it hissing in and I could feel the flow of air into the cage. It was cold and ""mean."" I then got his food and water containers. I ""thought"" talked to it soothingly. ""Poor little thing. I'll bet you think I'm taking this away from you to hurt you, but see, I'm filling the cup and it's fresh. Now, here's the water. That's the most important, isn't it?"" The water cup then partially collapsed and the water spilled onto the food, but it was still O.K., just a little messy. Then I got nervous. I watched as the monkey changed. It was supposed to be cute and sit on my shoulder and chitter and be furry and hug me. I had held the door partially open with my keys (on a little sandal shoe), but the monkey was tiny, like a spider with a long tail. Then it was a small snake. I got really scared. The snake was growing and it was going to eat me, or kill me. It grew and I fled the room. I was on a road/freeway. There were many cars. I was in one. We were all fleeing the snake. It was huge now. The freeway was choked with cars. There was road construction and dust was thick in the air. I heard the screams of the others being killed by the snake. I felt fear and a certainty that this was it. No escape. The snake would get me. I looked to my left. The snake was on a moving train, devouring it and the people on it. I veered to the right and got out of the car, I tried to make myself very small and tried to burrow into the ground. I was burying myself alive to escape the notice of the snake. I felt doomed. It would find me.",nightmare,"{'happy': 0.01929405555124902, 'neutral': 0.028201886074956314, 'nightmare': 0.9404905349292255, 'sad': 0.012013523444569095}",,False
2025-08-22,friendship,"A young woman is going away to get married. I'm going to sing at her wedding or graduation. I am wearing a wedding dress, lots of lace, and I'm well-shaped. I look fat, but I'm not. A nun comes up to me. We are introduced. She doesn't approve of me. I am making jokes about marriage, like a clown or a comic. I show the girl my silly undertrunks and laugh. She's very serious and doesn't laugh. It's time for the show. A small audience, 10 of us in lines, are on the stage. I'm second to left in front. The girl is to my left. I sing a story about a bride who broke part of her husband's tea set. She had to pay for it out of her own money. ""And,"" I told the audience, ""it has to be out of the principal, not the interest. I am serious,"" I say to a scoffing audience person. They don't like my message. A woman friend's daughter starts crying and has to leave the stage. Perhaps the message is too modern for her. It's like we're doing an opera with humor.",happy,"{'happy': 0.945826943279488, 'neutral': 0.026378744928155298, 'nightmare': 0.011078725459259583, 'sad': 0.016715586333097034}",,False
2025-08-29,scary,"I look in a mirror. My eyes are pink and puffy and the pupils are missing. I wander around the house looking for Bonnie so she can take me to the doctor. I find her. She's crying because one of her cousins has died. I turn a corner and see a room full of hospital beds. An overweight middle-aged man is sitting up in each bed, with hospital p.j.s and robe on. One man says, ""You're a week late to teach your well-being health class."" I am embarrassed because I had forgotten! I think quickly, then start to lecture. The man has a red face like he is blushing.",nightmare,"{'happy': 0.01674454652222067, 'neutral': 0.027543401902615543, 'nightmare': 0.942035826862269, 'sad': 0.013676224712894832}",,False
